user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
sak_2010_1_5_120m.9	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	GCA_000493965.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	99.68	0.92	GCA_000493965.1	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	99.68	0.92	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	86.75	11	N/A	N/A
sak_2010_1_5_120m.19	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__RBG-13-42-11;g__RBG-13-42-11;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	58.17	11	0.859140949234062	N/A
sak_2010_1_5_120m.46	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GCA-002782225;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	51.83	11	0.8384822838761654	N/A
sak_2010_1_5_120m.16	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	58.63	11	0.836007399710389	N/A
sak_2010_1_5_120m.13	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GWA2-38-27;g__XYB1-FULL-40-15;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GWA2-38-27;g__;s__	Placement	taxonomic novelty determined using RED	N/A	55.54	11	0.8544456490742581	N/A
sak_2010_1_5_120m.48	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Staskawiczbacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Staskawiczbacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	66.87	11	0.9099196108605059	N/A
sak_2010_1_5_120m.22	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5738;g__UBA5738;s__	N/A	N/A	N/A	N/A	N/A	GCA_002419295.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5738;g__UBA5738;s__UBA5738 sp002419295	78.44	0.39	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5738;g__UBA5738;s__	Placement	taxonomic classification fully defined by topology	GCA_002423555.1, s__UBA5738 sp002423555, 95.0, 78.27, 0.41	59.86	11	0.9451303735493009	N/A
sak_2010_1_5_120m.49	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__PEYH01;g__PEYH01;s__	N/A	N/A	N/A	N/A	N/A	GCA_002774465.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__PEYH01;g__PEYH01;s__PEYH01 sp002774465	78.33	0.56	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	62.42	11	0.9070427789318608	N/A
sak_2010_1_5_120m.2	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Portnoybacterales;f__UBA2143;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Portnoybacterales;f__UBA2143;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	53.59	11	0.783599789658148	N/A
sak_2010_1_5_120m.14	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	64.86	11	0.5074783599306831	N/A
sak_2010_1_5_120m.66	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__UBA6264;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__UBA6264;g__;s__	Placement	taxonomic novelty determined using RED	N/A	55.02	11	0.8062440982528287	N/A
sak_2010_1_5_120m.30	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA1558;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA1558;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	71.47	11	0.6481977357409953	N/A
sak_2010_1_5_120m.63	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2196;f__UBA2196;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2196;f__UBA2196;g__;s__	Placement	taxonomic novelty determined using RED	N/A	56.94	11	0.8221810363045295	N/A
sak_2010_1_5_120m.45	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__0-14-0-10-38-17;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	50.91	11	0.813584917021164	N/A
sak_2010_1_5_120m.10	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__;s__	Placement	taxonomic novelty determined using RED	N/A	64.25	11	0.7740935753026313	N/A
sak_2010_1_5_120m.56	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__UBA1162;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__;s__	Placement	taxonomic novelty determined using RED	N/A	79.92	11	0.9016629040430775	N/A
sak_2010_1_5_120m.20	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__	N/A	N/A	N/A	N/A	N/A	GCA_001795315.1	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__9FT-COMBO-48-23 sp001795315	86.62	0.91	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Placement	taxonomic novelty determined using RED	N/A	86.55	11	0.9353963259296779	N/A
sak_2010_1_5_120m.24	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Placement	taxonomic novelty determined using RED	N/A	60.1	11	0.7968894873233376	N/A
sak_2010_1_5_120m.68	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__20-14-all-45-10;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__;s__	Placement	taxonomic novelty determined using RED	N/A	77.84	11	0.8717209970324586	N/A
sak_2010_1_5_120m.54	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA7937;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	46.53	11	0.6089152115319778	N/A
sak_2010_1_5_120m.53	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA7950;g__UBA9294;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA7950;g__;s__	Placement	taxonomic novelty determined using RED	N/A	54.56	11	0.865354085745563	N/A
sak_2010_1_5_120m.42	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	55.36	11	0.6712890197036083	N/A
sak_2010_1_5_120m.11	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__	N/A	N/A	N/A	N/A	N/A	GCA_002737405.1	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__BAIKAL-G1-2R sp002737405	80.59	0.17	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__;s__	Placement	taxonomic novelty determined using RED	N/A	67.3	11	0.9195490860781642	N/A
sak_2010_1_5_120m.6	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409;g__UBA12409;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409;g__;s__	Placement	taxonomic novelty determined using RED	N/A	72.26	11	0.8713524496857752	N/A
sak_2010_1_5_120m.7	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	89.76	11	0.6281367541696801	N/A
sak_2010_1_5_120m.67	d__Bacteria;p__Omnitrophota;c__koll11;o__UBA6215;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__koll11;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	55.62	11	0.6158873549599443	N/A
sak_2010_1_5_120m.23	d__Bacteria;p__Omnitrophota;c__koll11;o__UBA1560;f__Omnitrophaceae_A;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__koll11;o__UBA1560;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	68.39	11	0.7725436864804528	N/A
sak_2010_1_5_120m.1	d__Bacteria;p__Omnitrophota;c__koll11;o__UBA1560;f__RBG-13-46-9;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__koll11;o__UBA1560;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	41.55	11	0.77879975863224	N/A
