Sample	Contig	Mean	Covered Bases	Length	Read Count
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.14~k147_69710	0.12773205	394	3673	3
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.14~k147_103330	0.0064336266	150	23465	1
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.14~k147_676578	0.0056494013	101	18028	1
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.14~k147_677651	3.484928	1739	3202	72
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_115645	0.026901005	205	11302	2
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_123093	0.041759882	72	2832	2
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_124506	0.019155078	73	3961	1
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_138833	0.091220066	280	2781	2
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_181673	0.09082624	299	3442	2
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_295733	0.075987846	300	4098	2
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_379546	0.054777846	90	1793	1
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_383485	0.031840373	150	4861	1
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_456921	0.049140047	230	5848	2
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_543862	0.03305421	300	9226	2
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_4040	0.075399116	317	20946	11
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_19561	0.22910857	451	11267	17
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_28813	0.54545456	495	1800	6
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_63849	0.15075174	1267	24959	25
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_65584	0.0016999864	150	88386	1
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_91609	0.021303792	450	21273	3
sak_2013_06_06_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_103213	0.015551048	138	9024	1
