bin	completeness	contamination	GC	lineage	N50	size	binner
bin.19	100.0	1.694	0.355	Bacteria	6597	2113137	binsB
bin.9	98.70	0.161	0.517	Deltaproteobacteria	60983	3818859	binsA
bin.2	98.63	4.383	0.608	Bacteria	20250	6380562	binsAB
bin.26	98.40	4.878	0.364	Bacteria	24560	2350798	binsA
bin.5	97.38	0.952	0.440	Bacteroidetes	49789	3169157	binsAB
bin.28	97.31	2.150	0.427	Bacteria	81833	4216427	binsA
bin.29	95.70	4.215	0.541	Bacteria	14204	2911960	binsB
bin.20	95.32	1.098	0.497	Bacteria	31884	2486565	binsA
bin.10	94.67	0.967	0.442	Deltaproteobacteria	23663	2848151	binsA
bin.6	94.25	2.871	0.606	Bacteria	89363	4293733	binsA
bin.1	93.36	1.075	0.459	Bacteria	44020	3246091	binsA
bin.7	92.0	2.787	0.376	Bacteria	11019	1727960	binsA
bin.4	91.92	5.155	0.530	Gammaproteobacteria	5460	4926641	binsA
bin.24	90.56	1.980	0.474	Bacteria	7784	2829111	binsA
bin.21	90.32	1.075	0.455	Bacteria	56580	3408677	binsB
bin.12	89.52	9.684	0.523	Bacteria	10531	3980797	binsA
bin.15	88.43	1.672	0.429	Gammaproteobacteria	6831	2304798	binsA
bin.18	87.57	0.0	0.396	Bacteria	157476	1279041	binsA
bin.11	85.87	1.075	0.349	Bacteria	23020	3336980	binsA
bin.3	85.04	0.0	0.449	Archaea	46855	1506331	binsA
bin.8	83.33	0.268	0.456	Bacteria	116805	3130149	binsA
bin.22	83.15	7.255	0.464	Deltaproteobacteria	5558	3835195	binsAB
bin.27	82.75	2.436	0.707	Actinobacteria	8133	2599745	binsA
bin.31	80.84	3.810	0.332	Archaea	11841	941778	binsB
bin.14	76.34	1.904	0.461	Bacteroidetes	41605	2770301	binsAB
bin.16	73.52	2.708	0.535	Euryarchaeota	3467	1402152	binsB
bin.25	72.55	2.570	0.621	Bacteria	3666	4534885	binsA
bin.13	72.03	5.586	0.409	Bacteria	4003	2909633	binsAB
bin.23	70.79	1.834	0.590	Bacteria	3710	2891884	binsAB
bin.17	70.30	1.218	0.510	Deltaproteobacteria	5400	4197743	binsAB
