bin	completeness	contamination	GC	lineage	N50	size	binner
bin.10	98.46	1.644	0.564	Euryarchaeota	16187	2483746	binsB
bin.24	97.33	3.555	0.322	Bacteria	59832	1736989	binsA
bin.8	96.73	4.802	0.439	Deltaproteobacteria	34609	3003028	binsA
bin.16	95.09	1.307	0.423	Euryarchaeota	23671	2978655	binsB
bin.22	93.61	2.336	0.452	Archaea	32477	1903132	binsAB
bin.26	93.60	3.407	0.621	Bacteria	13842	4041210	binsA
bin.28	93.54	2.695	0.536	Bacteria	32506	2389409	binsA
bin.1	93.04	3.883	0.564	Archaea	24319	2677721	binsA
bin.19	92.94	4.950	0.409	Bacteria	9174	1340676	binsA
bin.15	91.33	3.763	0.419	Bacteria	14630	1755029	binsA
bin.9	90.52	5.065	0.544	Euryarchaeota	18718	1890571	binsA
bin.27	87.81	0.749	0.382	Bacteria	4624	1887607	binsB
bin.7	86.79	2.970	0.478	Bacteria	11554	1380820	binsA
bin.20	84.15	2.970	0.538	Bacteria	11032	1111274	binsA
bin.2	80.45	0.0	0.566	Euryarchaeota	4511	1594197	binsA
bin.17	80.45	6.896	0.426	Bacteria	11360	687691	binsAB
bin.3	79.76	1.217	0.594	Bacteria	4012	2526596	binsA
bin.30	79.69	2.949	0.385	Bacteria	18154	1377278	binsB
bin.25	79.59	0.0	0.461	Archaea	9168	1408804	binsA
bin.6	79.04	1.980	0.439	Bacteria	43214	1144288	binsA
bin.4	78.87	1.935	0.484	Deltaproteobacteria	6770	1523650	binsAB
bin.11	78.62	4.984	0.394	Archaea	3718	737909	binsA
bin.23	77.58	6.173	0.513	Bacteria	9895	3308604	binsAB
bin.29	77.01	5.172	0.354	Bacteria	24893	767325	binsB
bin.5	75.86	1.333	0.398	Bacteria	4468	1057760	binsAB
bin.13	75.34	3.620	0.463	Deltaproteobacteria	4831	3160905	binsA
bin.12	74.76	4.471	0.407	Bacteria	3898	1996395	binsAB
bin.31	73.07	9.968	0.332	Archaea	4243	965040	binsB
bin.18	72.05	0.660	0.300	Bacteria	38899	1029349	binsAB
bin.14	70.90	3.636	0.321	Bacteria	14216	1610616	binsAB
bin.21	70.82	0.0	0.397	Bacteria	40949	562726	binsA
