bin	completeness	contamination	GC	lineage	N50	size	binner
bin.6	100.0	0.653	0.560	Euryarchaeota	37816	2449260	binsA
bin.27	98.21	0.0	0.363	Bacteria	162224	1401613	binsA
bin.18	97.33	1.333	0.383	Bacteria	70466	2020410	binsA
bin.29	97.03	4.934	0.527	Euryarchaeota	17734	2233701	binsB
bin.24	94.71	0.990	0.482	Bacteria	257381	2072163	binsA
bin.5	93.30	3.296	0.390	Bacteria	5653	1717481	binsB
bin.13	92.83	1.792	0.457	Bacteria	32042	3181568	binsA
bin.15	92.35	2.222	0.323	Bacteria	7703	1498551	binsA
bin.16	90.54	4.311	0.621	Bacteria	8662	4022623	binsA
bin.8	90.42	1.980	0.532	Bacteria	82370	1275310	binsA
bin.23	90.0	3.333	0.484	Deltaproteobacteria	29514	2220567	binsA
bin.3	89.01	6.25	0.634	Bacteria	7282	4782900	binsA
bin.4	88.66	5.128	0.396	Bacteria	14648	2468279	binsA
bin.1	88.64	6.637	0.409	Bacteria	12237	1486159	binsA
bin.9	88.38	4.677	0.463	Deltaproteobacteria	5933	3598705	binsA
bin.22	85.10	3.761	0.405	Bacteria	28013	931622	binsA
bin.28	83.63	1.818	0.588	Bacteria	20677	4440301	binsAB
bin.14	83.00	3.960	0.439	Bacteria	23515	1250942	binsA
bin.26	82.35	2.697	0.427	Bacteria	15108	3130045	binsAB
bin.11	80.84	1.869	0.332	Archaea	14395	850927	binsAB
bin.30	80.25	7.293	0.544	Bacteria	4787	2060820	binsB
bin.17	79.70	5.940	0.476	Bacteria	16339	1467451	binsAB
bin.2	76.16	0.313	0.421	Bacteria	10598	504930	binsA
bin.20	75.28	5.172	0.422	Bacteria	14699	781941	binsA
bin.7	74.43	3.630	0.300	Bacteria	37168	1087141	binsA
bin.19	74.29	1.240	0.537	Archaea	5563	938035	binsA
bin.21	71.08	5.280	0.384	Bacteria	28029	1112521	binsA
bin.12	70.64	0.0	0.337	Archaea	20793	857491	binsA
bin.25	70.59	2.297	0.397	Bacteria	5558	3163559	binsA
bin.10	70.37	2.297	0.456	Bacteria	4765	1004710	binsA
