bin	completeness	contamination	GC	lineage	N50	size	binner
bin.6	98.36	1.633	0.563	Euryarchaeota	14304	2202753	binsAB
bin.5	98.36	1.960	0.422	Euryarchaeota	24029	2840469	binsAB
bin.7	97.53	1.973	0.564	Euryarchaeota	16542	2341866	binsA
bin.25	95.04	2.970	0.534	Bacteria	37241	2396941	binsA
bin.15	94.71	0.990	0.482	Bacteria	152296	2125136	binsA
bin.1	93.18	8.228	0.496	Bacteria	13570	5510981	binsA
bin.13	92.86	4.086	0.438	Deltaproteobacteria	36262	3021474	binsA
bin.23	92.23	3.225	0.419	Bacteria	14979	1783359	binsA
bin.26	91.74	2.803	0.453	Archaea	26664	2076361	binsB
bin.24	90.37	2.991	0.391	Bacteria	24395	2851339	binsA
bin.12	87.83	4.814	0.548	Euryarchaeota	15368	1910297	binsB
bin.4	86.08	4.854	0.577	Archaea	6394	2054297	binsA
bin.11	85.16	3.922	0.462	Deltaproteobacteria	4626	3549704	binsA
bin.22	84.25	7.788	0.440	Archaea	3502	1274413	binsAB
bin.10	84.15	5.940	0.542	Bacteria	7286	1050666	binsA
bin.17	83.86	2.197	0.384	Bacteria	5361	1810754	binsB
bin.20	83.63	4.242	0.588	Bacteria	5952	3912334	binsA
bin.19	83.00	0.0	0.439	Bacteria	41235	1065506	binsAB
bin.2	81.93	1.075	0.284	Bacteria	10240	2274768	binsAB
bin.3	78.43	1.410	0.633	Bacteria	5116	2836208	binsAB
bin.14	78.38	2.090	0.479	Bacteria	9063	1255658	binsA
bin.27	78.21	6.195	0.298	Bacteria	35166	1252728	binsB
bin.21	77.96	9.809	0.569	Bacteria	4665	1611641	binsA
bin.8	72.20	3.370	0.351	Bacteria	13873	891002	binsA
bin.18	70.91	9.306	0.473	Bacteria	6170	1617661	binsA
bin.16	70.82	0.0	0.396	Bacteria	25575	617184	binsA
bin.9	70.73	3.942	0.411	Bacteria	3755	883486	binsAB
