bin	completeness	contamination	GC	lineage	N50	size	binner
bin.24	99.83	0.653	0.562	Euryarchaeota	35369	2501597	binsB
bin.3	98.21	0.0	0.363	Bacteria	162226	1419233	binsA
bin.34	97.72	3.512	0.633	Bacteria	18156	5147241	binsA
bin.8	97.33	3.555	0.322	Bacteria	37776	1653294	binsA
bin.28	95.60	3.296	0.620	Bacteria	37974	3883093	binsA
bin.31	95.48	1.935	0.481	Deltaproteobacteria	39798	2429976	binsA
bin.1	95.18	2.528	0.702	Actinobacteria	12611	3366579	binsA
bin.11	95.16	8.458	0.423	Bacteria	28121	4679055	binsA
bin.26	94.52	0.990	0.482	Bacteria	255516	2093494	binsA
bin.33	94.38	2.970	0.533	Bacteria	79070	1328285	binsAB
bin.39	94.08	1.344	0.457	Bacteria	26544	3076820	binsA
bin.4	93.96	5.862	0.517	Bacteria	8179	3377040	binsA
bin.25	93.53	1.980	0.478	Bacteria	44045	1767755	binsA
bin.23	93.24	2.900	0.619	Bacteria	12232	4359212	binsA
bin.21	92.30	3.296	0.387	Bacteria	6488	1841133	binsB
bin.22	91.17	2.011	0.424	Euryarchaeota	9357	2690737	binsB
bin.14	90.96	6.658	0.507	Bacteria	7775	3597735	binsA
bin.35	90.54	1.006	0.311	Clostridiales	18507	1962449	binsA
bin.32	90.34	1.006	0.536	Archaea	13722	1262151	binsA
bin.29	87.84	2.397	0.422	Bacteria	12304	3642765	binsA
bin.18	87.25	2.403	0.595	Bacteria	7880	2986368	binsAB
bin.27	86.96	0.990	0.446	Bacteria	27775	1745380	binsAB
bin.40	86.36	4.090	0.588	Bacteria	17902	4911221	binsB
bin.42	86.18	2.850	0.526	Euryarchaeota	17398	1833268	binsA
bin.36	83.30	3.294	0.550	Euryarchaeota	12036	1603756	binsA
bin.30	82.93	1.935	0.541	Deltaproteobacteria	6277	3157091	binsAB
bin.10	82.44	1.980	0.544	Bacteria	13781	1764145	binsAB
bin.45	82.18	1.253	0.420	Bacteria	54146	730992	binsB
bin.19	81.97	4.858	0.405	Bacteria	22497	936129	binsAB
bin.2	81.77	0.934	0.332	Archaea	10363	937876	binsB
bin.20	79.53	8.306	0.396	Bacteria	5496	1783388	binsA
bin.44	79.26	0.0	0.394	Bacteria	18926	2276003	binsB
bin.17	79.01	6.710	0.411	Bacteria	8346	1364870	binsA
bin.37	77.87	5.172	0.426	Bacteria	13768	765877	binsAB
bin.43	77.64	5.940	0.543	Bacteria	4050	1981892	binsB
bin.12	77.58	4.594	0.464	Bacteria	8553	1113314	binsAB
bin.46	77.22	4.800	0.298	Bacteria	34745	1247887	binsB
bin.7	76.0	0.0	0.396	Bacteria	72987	1182301	binsA
bin.5	75.84	2.247	0.353	Bacteria	15945	943812	binsA
bin.9	74.42	4.086	0.459	Deltaproteobacteria	5543	2700838	binsAB
bin.16	73.62	2.150	0.422	Bacteria	3625	1077520	binsA
bin.41	72.77	0.990	0.414	Bacteria	14605	1094951	binsA
bin.13	72.57	3.030	0.567	Bacteria	5028	1670913	binsA
bin.38	71.04	4.142	0.458	Bacteroidetes	5718	2863705	binsA
bin.15	70.82	0.0	0.397	Bacteria	37846	587963	binsA
bin.6	70.46	0.0	0.376	Bacteria	67077	589516	binsA
