bin	completeness	contamination	GC	lineage	N50	size	binner
bin.25	98.21	0.0	0.363	Bacteria	190490	1409029	binsA
bin.6	97.33	2.222	0.322	Bacteria	65468	1724295	binsAB
bin.3	96.59	1.075	0.458	Bacteria	62586	3288475	binsA
bin.29	94.67	5.283	0.633	Bacteria	9445	5077063	binsA
bin.18	94.52	0.990	0.482	Bacteria	140529	2094000	binsA
bin.7	94.38	1.980	0.532	Bacteria	57204	1313276	binsA
bin.19	93.85	0.653	0.565	Euryarchaeota	8664	2061507	binsA
bin.11	92.90	0.0	0.446	Bacteria	51081	1627127	binsAB
bin.20	92.41	4.032	0.438	Deltaproteobacteria	25935	2874850	binsAB
bin.33	92.30	1.437	0.418	Euryarchaeota	8477	2684571	binsA
bin.23	90.37	5.413	0.392	Bacteria	14935	2719159	binsA
bin.5	90.16	1.075	0.420	Bacteria	6076	1449622	binsA
bin.10	89.77	3.409	0.497	Bacteria	9258	4893029	binsA
bin.8	89.27	0.990	0.534	Bacteria	25569	2352998	binsA
bin.30	88.66	0.0	0.396	Bacteria	10743	1404756	binsAB
bin.4	88.18	4.173	0.587	Bacteria	15715	4571947	binsA
bin.34	87.96	2.302	0.568	Euryarchaeota	6059	1957043	binsA
bin.13	87.81	3.361	0.382	Bacteria	4334	1810188	binsB
bin.15	87.66	7.692	0.499	Bacteria	8220	4164535	binsA
bin.22	87.15	7.405	0.553	Euryarchaeota	10997	1668874	binsA
bin.32	84.81	0.990	0.477	Bacteria	11596	1494656	binsA
bin.1	81.60	6.536	0.464	Bacteria	5357	3447377	binsB
bin.16	81.25	6.593	0.429	Bacteria	8455	2924275	binsB
bin.27	79.52	1.724	0.622	Bacteria	4910	3248552	binsA
bin.21	79.29	2.688	0.386	Bacteria	10390	1230699	binsA
bin.28	76.45	9.476	0.342	Bacteria	5357	2407871	binsA
bin.17	76.39	1.001	0.408	Bacteria	7410	1236887	binsA
bin.2	74.52	7.095	0.299	Bacteria	35166	1098753	binsAB
bin.26	72.36	5.478	0.330	Bacteria	7944	4740849	binsA
bin.9	70.97	0.862	0.353	Bacteria	28365	550514	binsA
bin.14	70.82	0.0	0.397	Bacteria	33516	575295	binsAB
bin.12	70.80	1.848	0.569	Bacteria	4119	1438890	binsA
bin.31	70.46	2.090	0.395	Bacteria	7236	918512	binsA
bin.24	70.05	4.022	0.593	Bacteria	3514	2419504	binsA
