bin	completeness	contamination	GC	lineage	N50	size	binner
bin.17	98.84	0.986	0.563	Euryarchaeota	21142	2359432	binsA
bin.8	97.38	0.653	0.423	Euryarchaeota	22393	2686801	binsAB
bin.27	96.30	2.970	0.539	Bacteria	38835	2500404	binsB
bin.16	94.92	2.337	0.565	Euryarchaeota	10315	2063153	binsAB
bin.1	94.71	0.990	0.482	Bacteria	133681	2094589	binsA
bin.23	93.61	0.934	0.452	Archaea	28226	1909811	binsAB
bin.9	92.86	4.086	0.440	Deltaproteobacteria	40906	3023596	binsA
bin.15	91.87	4.757	0.420	Bacteria	12057	1751683	binsA
bin.6	91.44	4.545	0.498	Bacteria	13068	5401595	binsA
bin.2	89.87	5.218	0.574	Archaea	8659	2380435	binsA
bin.10	87.86	0.0	0.309	Clostridiales	14126	1869806	binsB
bin.13	87.22	3.431	0.547	Euryarchaeota	16466	1835473	binsA
bin.25	86.10	2.184	0.389	Bacteria	28935	2052006	binsAB
bin.3	85.97	1.980	0.440	Bacteria	23560	1439356	binsA
bin.20	85.80	3.080	0.478	Bacteria	7931	1630751	binsB
bin.19	85.16	6.658	0.463	Deltaproteobacteria	4786	3628932	binsA
bin.4	84.70	1.980	0.509	Bacteria	8581	1994048	binsAB
bin.18	81.45	8.891	0.506	Bacteria	4346	3144400	binsA
bin.22	81.36	1.648	0.380	Bacteria	5522	1757531	binsA
bin.5	78.60	1.149	0.594	Bacteria	3456	2327229	binsA
bin.21	78.30	5.040	0.543	Bacteria	7736	956366	binsAB
bin.7	76.75	6.565	0.595	Bacteria	5194	3247499	binsAB
bin.28	75.28	9.874	0.378	Bacteria	14158	679068	binsB
bin.24	72.14	1.650	0.299	Bacteria	37337	1065629	binsAB
bin.14	72.03	3.389	0.576	Bacteria	4182	1078093	binsA
bin.26	71.10	2.542	0.576	Bacteria	4281	1170930	binsAB
bin.29	71.08	6.109	0.411	Bacteria	3400	1257377	binsB
bin.11	70.82	0.862	0.398	Bacteria	32447	606748	binsA
bin.12	70.27	2.150	0.293	Bacteria	7901	2186953	binsA
