bin	completeness	contamination	GC	lineage	N50	size	binner
bin.21	100.0	2.614	0.562	Euryarchaeota	34944	2406704	binsA
bin.11	98.66	9.333	0.338	Bacteria	22084	2159142	binsAB
bin.39	98.38	1.075	0.452	Bacteria	37403	4192290	binsA
bin.50	98.21	4.464	0.360	Bacteria	142282	1874307	binsB
bin.10	97.79	3.005	0.459	Bacteria	60893	4189494	binsA
bin.38	97.31	1.881	0.427	Bacteria	80196	4287288	binsA
bin.9	96.70	1.098	0.380	Bacteria	16618	2614653	binsB
bin.2	96.23	1.612	0.454	Bacteria	85849	3265220	binsA
bin.12	96.12	7.956	0.441	Deltaproteobacteria	27085	2673553	binsA
bin.46	95.67	1.333	0.393	Bacteria	63150	1695665	binsB
bin.42	95.27	4.083	0.621	Bacteria	22761	4070167	binsAB
bin.5	95.24	9.987	0.534	Deltaproteobacteria	8178	2453001	binsA
bin.23	94.71	0.990	0.482	Bacteria	262440	2096088	binsA
bin.25	94.52	3.418	0.620	Bacteria	46629	3322459	binsAB
bin.3	94.25	2.195	0.605	Bacteria	80603	4312382	binsA
bin.17	93.33	1.333	0.323	Bacteria	14197	2020313	binsA
bin.32	93.01	0.806	0.458	Bacteria	24677	3052981	binsA
bin.40	92.0	2.666	0.377	Bacteria	29278	1705329	binsB
bin.18	91.27	0.934	0.535	Archaea	36973	1299552	binsA
bin.34	90.89	4.495	0.504	Bacteria	9548	3851103	binsA
bin.4	90.32	1.290	0.485	Deltaproteobacteria	45696	2180958	binsAB
bin.22	89.14	3.115	0.480	Archaea	8039	2308692	binsA
bin.48	89.03	2.666	0.397	Bacteria	23942	1867767	binsB
bin.8	86.55	4.301	0.471	Bacteria	32097	1161884	binsA
bin.20	86.13	1.462	0.516	Bacteria	8140	3297617	binsAB
bin.35	85.81	2.957	0.565	Bacteria	18017	3116350	binsAB
bin.31	85.74	5.607	0.351	Archaea	31746	1502649	binsA
bin.14	84.66	1.454	0.550	Bacteria	4399	1433541	binsB
bin.27	83.63	2.727	0.589	Bacteria	20402	4655225	binsB
bin.33	82.55	0.0	0.396	Bacteria	92931	1241139	binsAB
bin.16	81.99	1.709	0.396	Bacteria	70722	2150409	binsB
bin.28	81.55	2.883	0.410	Bacteria	10246	1274074	binsAB
bin.13	80.78	3.315	0.528	Euryarchaeota	8637	1549477	binsAB
bin.29	79.09	4.929	0.363	Bacteria	7920	1542793	binsA
bin.37	77.57	0.934	0.343	Archaea	36570	933517	binsA
bin.7	76.25	0.934	0.537	Archaea	7815	962221	binsA
bin.49	75.66	9.561	0.405	Bacteria	8801	1002855	binsB
bin.47	75.15	7.009	0.302	Archaea	18420	1589586	binsB
bin.24	74.77	2.247	0.353	Bacteria	17077	917171	binsA
bin.26	74.71	2.911	0.320	Bacteria	26714	621884	binsA
bin.44	74.45	1.869	0.312	Archaea	25112	1042359	binsA
bin.15	74.26	0.0	0.362	Bacteria	21618	552451	binsA
bin.6	73.83	0.934	0.333	Archaea	8268	714841	binsA
bin.19	72.31	0.215	0.536	Deltaproteobacteria	5259	2910914	binsAB
bin.45	71.92	1.754	0.597	Bacteria	9010	2704655	binsAB
bin.1	71.58	6.270	0.386	Bacteria	48456	929154	binsAB
bin.51	70.79	4.257	0.356	Bacteria	12871	1366960	binsB
bin.36	70.79	1.980	0.411	Bacteria	408332	1248610	binsAB
bin.41	70.47	0.156	0.397	Bacteria	23753	578991	binsA
bin.43	70.46	2.542	0.378	Bacteria	32324	661578	binsA
bin.30	70.29	1.485	0.438	Bacteria	42152	776273	binsA
