bin	completeness	contamination	GC	lineage	N50	size	binner
bin.1	98.21	0.487	0.363	Bacteria	162226	1400165	binsA
bin.13	97.33	1.333	0.393	Bacteria	85885	1531587	binsA
bin.23	96.0	2.222	0.322	Bacteria	68658	1723608	binsAB
bin.6	95.80	3.763	0.482	Deltaproteobacteria	29807	2261629	binsAB
bin.22	94.98	0.537	0.457	Bacteria	33473	3267461	binsA
bin.16	94.71	0.990	0.482	Bacteria	262302	2064626	binsA
bin.9	93.34	5.694	0.423	Bacteria	11840	3681352	binsA
bin.11	93.34	7.692	0.620	Bacteria	18007	3896932	binsA
bin.21	93.31	0.705	0.621	Bacteria	12472	4049452	binsA
bin.26	92.40	0.990	0.535	Bacteria	82313	1239228	binsB
bin.15	91.77	1.973	0.529	Euryarchaeota	21969	1753587	binsA
bin.20	91.22	6.930	0.476	Bacteria	15155	1667571	binsA
bin.5	89.93	3.960	0.447	Bacteria	33815	1761846	binsAB
bin.24	89.46	1.163	0.386	Bacteria	4614	1222294	binsA
bin.19	87.80	7.051	0.393	Bacteria	10542	2340938	binsA
bin.10	87.74	3.607	0.462	Deltaproteobacteria	5626	3475409	binsA
bin.3	87.28	0.0	0.594	Bacteria	5774	3113808	binsA
bin.7	85.90	2.727	0.318	Bacteria	14115	1592236	binsA
bin.4	85.10	6.658	0.501	Bacteria	6594	3827429	binsA
bin.18	83.63	2.424	0.588	Bacteria	13909	4409950	binsA
bin.25	80.76	1.307	0.568	Euryarchaeota	4939	1625571	binsA
bin.12	80.71	4.738	0.555	Euryarchaeota	6434	1433467	binsA
bin.2	79.42	6.728	0.409	Bacteria	9968	1399736	binsA
bin.14	78.84	0.574	0.407	Bacteria	30197	893328	binsAB
bin.17	77.87	3.605	0.426	Bacteria	16166	719903	binsAB
bin.8	72.47	5.320	0.322	Bacteria	16995	687921	binsA
bin.29	71.33	0.752	0.517	Bacteria	3261	2814692	binsB
bin.28	70.82	3.448	0.395	Bacteria	33804	653906	binsB
