bin	completeness	contamination	GC	lineage	N50	size	binner
bin.15	99.83	1.307	0.562	Euryarchaeota	31140	2483455	binsB
bin.8	98.84	1.315	0.562	Euryarchaeota	17863	2561355	binsB
bin.11	97.71	0.871	0.423	Euryarchaeota	26447	2944501	binsB
bin.4	97.33	3.555	0.322	Bacteria	59308	1746080	binsA
bin.7	96.11	1.941	0.464	Archaea	32253	1698869	binsA
bin.20	95.44	5.471	0.438	Deltaproteobacteria	35961	2957441	binsA
bin.21	95.27	2.056	0.621	Bacteria	22072	4146592	binsA
bin.35	94.71	0.990	0.482	Bacteria	140519	2117591	binsA
bin.40	94.54	1.246	0.455	Archaea	19851	1950297	binsB
bin.3	93.97	2.150	0.291	Bacteria	16306	3394732	binsA
bin.16	93.75	3.977	0.497	Bacteria	16144	5475114	binsA
bin.6	93.48	3.405	0.418	Bacteria	14824	1780740	binsA
bin.42	91.74	5.499	0.567	Archaea	40595	2710197	binsB
bin.39	91.73	5.494	0.508	Bacteria	11236	3848374	binsA
bin.33	90.52	3.594	0.543	Euryarchaeota	20654	1956040	binsA
bin.18	90.0	4.754	0.485	Deltaproteobacteria	13504	1963942	binsAB
bin.28	89.10	2.475	0.541	Bacteria	28679	2267045	binsB
bin.36	88.66	2.564	0.395	Bacteria	15319	2449407	binsA
bin.31	88.33	7.282	0.410	Bacteria	9372	1375049	binsAB
bin.29	87.28	0.679	0.594	Bacteria	5869	2966731	binsA
bin.14	85.97	0.0	0.440	Bacteria	44130	1333118	binsAB
bin.13	85.45	4.090	0.588	Bacteria	14335	4520669	binsA
bin.17	85.17	8.350	0.632	Bacteria	4266	5025334	binsA
bin.30	84.65	1.980	0.478	Bacteria	10567	858481	binsA
bin.37	84.37	6.818	0.507	Bacteria	5564	4750009	binsA
bin.27	83.15	0.0	0.385	Bacteria	7620	2995545	binsA
bin.34	82.78	3.630	0.535	Bacteria	9192	1181377	binsA
bin.26	81.43	0.806	0.458	Bacteria	9604	2780039	binsAB
bin.5	81.35	1.100	0.507	Bacteria	5675	1992742	binsA
bin.19	80.52	1.980	0.604	Bacteria	3688	1653464	binsA
bin.24	80.26	1.098	0.379	Bacteria	6010	1613145	binsA
bin.10	79.86	4.188	0.411	Bacteria	4209	2208584	binsAB
bin.9	78.87	2.970	0.479	Bacteria	8587	1257534	binsB
bin.23	77.96	0.0	0.577	Bacteria	4830	1104602	binsAB
bin.2	77.87	5.329	0.425	Bacteria	21559	808457	binsA
bin.25	77.03	4.517	0.396	Archaea	5426	959310	binsA
bin.1	76.89	2.363	0.463	Deltaproteobacteria	4799	2945364	binsAB
bin.41	75.42	2.640	0.298	Bacteria	35166	1224703	binsB
bin.12	75.13	2.664	0.377	Bacteria	21209	559672	binsA
bin.38	72.12	1.333	0.399	Bacteria	4464	1065676	binsA
bin.22	70.82	0.862	0.398	Bacteria	32267	555015	binsA
bin.32	70.46	6.779	0.377	Bacteria	30863	587345	binsA
bin.43	70.11	1.724	0.354	Bacteria	28040	555396	binsB
