bin	completeness	contamination	GC	lineage	N50	size	binner
bin.4	98.90	1.098	0.497	Bacteria	33100	2529004	binsA
bin.25	98.70	0.0	0.443	Deltaproteobacteria	39562	2863564	binsAB
bin.7	98.66	2.666	0.549	Bacteria	23031	1693522	binsA
bin.5	98.38	1.075	0.455	Bacteria	119340	3700510	binsA
bin.17	98.20	0.537	0.458	Bacteria	42916	3270883	binsA
bin.9	97.96	3.170	0.365	Bacteria	21481	2263983	binsA
bin.26	97.84	4.032	0.427	Bacteria	76635	4667908	binsA
bin.27	97.79	3.005	0.459	Bacteria	65605	4145369	binsA
bin.24	96.0	2.666	0.373	Bacteria	39373	2073210	binsB
bin.16	95.07	2.222	0.443	Bacteroidetes	35731	3092469	binsA
bin.23	94.66	1.555	0.391	Bacteria	61210	1757249	binsA
bin.11	94.52	0.990	0.483	Bacteria	75981	2261492	binsA
bin.19	94.25	2.195	0.605	Bacteria	53716	4395719	binsA
bin.12	93.68	1.093	0.453	Bacteria	47136	3456319	binsA
bin.10	93.67	1.709	0.622	Bacteria	29049	3242875	binsAB
bin.6	93.13	1.384	0.429	Gammaproteobacteria	29141	2443205	binsA
bin.20	92.90	2.150	0.534	Deltaproteobacteria	22770	2381636	binsAB
bin.8	92.27	0.948	0.309	Bacteria	18491	1170665	binsA
bin.2	91.52	3.882	0.351	Bacteria	5374	1746448	binsA
bin.13	91.20	0.854	0.529	Bacteria	74879	3373143	binsA
bin.31	90.79	2.150	0.395	Bacteria	155525	1578601	binsA
bin.14	90.56	7.924	0.533	Bacteria	9563	2635538	binsAB
bin.18	87.60	6.907	0.531	Euryarchaeota	7133	1661687	binsAB
bin.29	85.39	5.535	0.422	Betaproteobacteria	6556	1630975	binsA
bin.3	84.11	0.0	0.449	Archaea	43976	1501940	binsA
bin.32	83.89	2.580	0.516	Deltaproteobacteria	4423	3220611	binsA
bin.28	83.44	0.0	0.400	Bacteria	71674	1298021	binsA
bin.30	83.17	1.246	0.332	Archaea	11074	802071	binsA
bin.1	81.58	3.566	0.536	Bacteria	5739	3737673	binsA
bin.36	80.72	8.040	0.341	Bacteria	3467	2340317	binsB
bin.22	78.22	0.967	0.463	Deltaproteobacteria	5781	3065191	binsAB
bin.33	74.68	3.953	0.297	Archaea	15192	1687391	binsB
bin.21	72.98	0.0	0.334	Archaea	14940	880362	binsAB
bin.15	72.58	2.492	0.325	Archaea	112461	1200682	binsA
bin.34	72.11	0.143	0.319	Archaea	151968	1080834	binsB
bin.35	71.28	6.161	0.591	Bacteria	3337	3459024	binsB
