bin	completeness	contamination	GC	lineage	N50	size	binner
bin.22	99.46	1.075	0.454	Bacteria	90603	4295560	binsB
bin.35	98.78	3.842	0.365	Bacteria	37812	2370174	binsAB
bin.21	97.84	0.734	0.442	Bacteria	67948	3274309	binsAB
bin.17	97.33	1.333	0.372	Bacteria	33006	2049160	binsA
bin.34	97.23	4.623	0.513	Deltaproteobacteria	14246	4424562	binsA
bin.31	96.75	2.419	0.450	Bacteria	57102	4789659	binsA
bin.25	96.61	8.628	0.355	Bacteria	12844	2322709	binsA
bin.15	95.70	1.980	0.534	Bacteria	59222	2627590	binsA
bin.24	95.32	5.216	0.309	Bacteria	10174	1274057	binsA
bin.2	94.69	2.247	0.434	Bacteria	36712	2117842	binsA
bin.29	93.05	1.677	0.430	Gammaproteobacteria	31381	2395962	binsA
bin.18	92.46	1.253	0.516	Bacteria	7256	3375788	binsA
bin.32	90.79	1.075	0.397	Bacteria	142787	1731684	binsB
bin.5	90.72	8.260	0.413	Gammaproteobacteria	12621	2646420	binsAB
bin.3	90.66	3.636	0.615	Bacteria	5456	2667403	binsA
bin.8	90.38	1.098	0.500	Bacteria	16511	2222077	binsAB
bin.7	90.16	1.520	0.442	Deltaproteobacteria	7686	3309028	binsA
bin.12	90.14	5.013	0.403	Bacteria	13225	5430290	binsA
bin.23	89.74	5.490	0.477	Bacteria	8008	1684166	binsAB
bin.28	87.75	1.612	0.397	Bacteria	23401	1578111	binsA
bin.9	85.49	2.364	0.584	Bacteria	5454	2078225	binsA
bin.36	85.29	7.926	0.402	Bacteria	23996	2086481	binsA
bin.14	84.74	2.180	0.442	Actinomycetales	26848	1380858	binsA
bin.13	82.51	1.123	0.381	Bacteria	17076	1205107	binsA
bin.10	82.46	1.029	0.512	Betaproteobacteria	34504	1592270	binsB
bin.6	80.64	0.0	0.351	Bacteria	447837	751696	binsA
bin.26	80.10	2.393	0.446	Bacteria	4707	3303757	binsAB
bin.33	79.72	2.802	0.370	Betaproteobacteria	9507	1055956	binsA
bin.37	79.59	4.075	0.431	Bacteria	10171	1692476	binsB
bin.30	79.23	9.552	0.419	Bacteria	7595	1702012	binsA
bin.4	78.73	1.883	0.500	Betaproteobacteria	11081	1261936	binsAB
bin.16	78.30	0.0	0.381	Bacteria	5338	867442	binsA
bin.27	78.17	2.366	0.592	Bacteria	3775	2786908	binsA
bin.1	77.21	3.136	0.462	Deltaproteobacteria	3681	3222437	binsA
bin.19	73.26	5.157	0.423	Betaproteobacteria	4225	1723505	binsB
bin.20	71.65	0.0	0.326	Archaea	667301	1025427	binsA
bin.11	70.37	8.719	0.514	Bacteria	3913	1499964	binsAB
