bin	completeness	contamination	GC	lineage	N50	size	binner
bin.18	98.19	0.986	0.564	Euryarchaeota	14839	2360811	binsA
bin.12	97.66	3.209	0.420	Euryarchaeota	14728	3216799	binsB
bin.15	94.52	0.990	0.482	Bacteria	132826	2112714	binsA
bin.9	92.73	3.080	0.536	Bacteria	25377	2385090	binsA
bin.6	92.67	3.738	0.569	Archaea	18960	2549982	binsA
bin.7	92.22	3.440	0.439	Deltaproteobacteria	40461	2888460	binsA
bin.17	90.97	5.727	0.419	Bacteria	12317	1726234	binsA
bin.14	89.87	0.071	0.450	Archaea	19432	1918654	binsA
bin.1	87.88	5.281	0.546	Euryarchaeota	10915	2121369	binsB
bin.21	87.78	2.970	0.478	Bacteria	6940	1679748	binsB
bin.13	85.97	1.100	0.441	Bacteria	27387	1394790	binsAB
bin.5	83.44	1.253	0.595	Bacteria	5436	3136610	binsA
bin.11	80.11	2.564	0.376	Bacteria	18577	1618928	binsAB
bin.19	80.01	1.198	0.381	Bacteria	4280	1853782	binsB
bin.3	79.17	5.238	0.571	Bacteria	4104	1464818	binsA
bin.4	76.48	3.755	0.623	Bacteria	4303	3230546	binsA
bin.2	76.45	5.346	0.543	Bacteria	6031	958243	binsA
bin.10	74.77	3.623	0.460	Deltaproteobacteria	3523	2285459	binsA
bin.16	72.95	1.650	0.300	Bacteria	37333	1068301	binsA
bin.8	71.44	3.225	0.410	Bacteria	5107	975132	binsAB
bin.20	70.83	7.267	0.568	Euryarchaeota	3268	1534078	binsB
